Pillar;Rate
1D;2.666
1W;2.607
1M;2.463
3M;2.256598533
6M;2.083945689
9M;1.977313536
1Y;1.919660844
2Y;1.961367863
3Y;2.164295062
4Y;2.377499726
5Y;2.559849156
6Y;2.704760933
7Y;2.815238638
8Y;2.89613214
9Y;2.952030102
10Y;2.986858975
11Y;3.003926788
12Y;3.006040844
13Y;2.995608885
14Y;2.974712688
15Y;2.9451606
16Y;2.908526437
17Y;2.866179849
18Y;2.81931123
19Y;2.768952875
20Y;2.715997387
21Y;2.661213878
22Y;2.605262348
23Y;2.548706477
24Y;2.492025033
25Y;2.435622042
26Y;2.379835848
27Y;2.324947199
28Y;2.271186431
29Y;2.218739871
30Y;2.167755521
